County,MLO,ID,Population_density
Bath and North East Somerset,Bath and North East Somerset 001,E02002985,"1,283.00"
Bath and North East Somerset,Bath and North East Somerset 002,E02002986,"3,529.30"
Bath and North East Somerset,Bath and North East Somerset 003,E02002987,"1,188.00"
Bath and North East Somerset,Bath and North East Somerset 004,E02002988,"3,201.80"
Bath and North East Somerset,Bath and North East Somerset 005,E02002989,"2,811.00"
Bath and North East Somerset,Bath and North East Somerset 006,E02002990,"6,736.10"
Bath and North East Somerset,Bath and North East Somerset 007,E02002991,"2,928.00"
Bath and North East Somerset,Bath and North East Somerset 008,E02002992,"3,074.70"
Bath and North East Somerset,Bath and North East Somerset 009,E02002993,"4,652.50"
Bath and North East Somerset,Bath and North East Somerset 010,E02002994,127.6
Bath and North East Somerset,Bath and North East Somerset 011,E02002995,"3,745.60"
Bath and North East Somerset,Bath and North East Somerset 012,E02002996,"1,872.90"
Bath and North East Somerset,Bath and North East Somerset 013,E02002997,"8,888.20"
Bath and North East Somerset,Bath and North East Somerset 014,E02002998,"6,215.80"
Bath and North East Somerset,Bath and North East Somerset 015,E02002999,"4,181.90"
Bath and North East Somerset,Bath and North East Somerset 016,E02003000,205.5
Bath and North East Somerset,Bath and North East Somerset 017,E02003001,"2,686.00"
Bath and North East Somerset,Bath and North East Somerset 018,E02003002,"2,316.30"
Bath and North East Somerset,Bath and North East Somerset 019,E02003003,"4,557.80"
Bath and North East Somerset,Bath and North East Somerset 020,E02003004,210.6
Bath and North East Somerset,Bath and North East Somerset 021,E02003005,94.5
Bath and North East Somerset,Bath and North East Somerset 022,E02003006,247.4
Bath and North East Somerset,Bath and North East Somerset 023,E02003007,642.5
Bath and North East Somerset,Bath and North East Somerset 024,E02003008,"1,004.60"
Bath and North East Somerset,Bath and North East Somerset 025,E02003009,"2,022.40"
Bath and North East Somerset,Bath and North East Somerset 026,E02003010,"2,742.10"
Bath and North East Somerset,Bath and North East Somerset 027,E02003011,"2,841.50"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 001",E02003194,442.6
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 002",E02004236,183.5
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 003",E02003172,"2,531.20"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 004",E02003196,"1,678.00"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 005",E02003173,"2,947.70"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 006",E02003174,"3,763.70"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 007",E02003175,"2,994.60"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 008",E02003195,"1,909.20"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole 009",E02003177,"5,908.70"
